   1    1  -9.618272509442e+01
   1    2   1.403122001782e+01
   2    2  -1.632148797048e+01
   1    3  -9.336775863659e+00
   2    3  -1.017841532872e+01
   3    3  -1.113499289925e+01
   4    4  -1.434939572605e+01
   5    5  -1.434939572605e+01
   6    6  -1.434939572605e+01
   4    7  -7.268631318552e+00
   7    7  -6.989881648734e+00
   5    8  -7.268631318552e+00
   8    8  -6.989881648734e+00
   6    9  -7.268631318552e+00
   9    9  -6.989881648734e+00
   1   10  -2.313968699455e+00
   2   10  -9.037555980884e+00
   3   10  -7.883861592696e+00
  10   10  -1.262924657066e+01
  11   11  -1.262924657066e+01
  12   12  -1.262924657066e+01
   1   13  -2.313968699455e+00
   2   13  -9.037555980884e+00
   3   13  -7.883861592696e+00
  10   13  -4.209748856888e+00
  13   13  -1.262924657066e+01
  14   14  -1.262924657066e+01
   1   15  -2.313968699455e+00
   2   15  -9.037555980884e+00
   3   15  -7.883861592696e+00
  10   15  -4.209748856888e+00
  13   15  -4.209748856888e+00
  15   15  -1.262924657066e+01
