   1    1  -6.258462117616e+01
   1    2  -5.181697540770e+00
   2    2  -1.163422407125e+01
   1    3  -5.502980758623e+00
   2    3  -7.869280095029e+00
   3    3  -7.671200469094e+00
   4    4  -1.268148654153e+01
   5    5  -1.278858429307e+01
   1    6  -2.714941504938e-02
   2    6  -1.846285348056e-01
   3    6  -1.742715486753e-01
   6    6  -1.274608631467e+01
   4    7  -4.271160350079e+00
   7    7  -5.246859988822e+00
   5    8  -4.368791611631e+00
   8    8  -5.470258859378e+00
   1    9  -3.741140821949e-03
   2    9  -1.181270626505e-01
   3    9  -2.462836715180e-01
   6    9  -4.330050077049e+00
   9    9  -5.381610869670e+00
   1   10  -1.100373585223e+00
   2   10  -2.373844916982e+00
   3   10  -3.048098947755e+00
   5   10  -1.963820860919e+00
   6   10  -1.552817821368e+00
   8   10  -2.787621369553e+00
   9   10  -2.197884783222e+00
  10   10  -6.405262650395e+00
   1   11  -2.237070604490e+00
   2   11  -3.733414747880e+00
   3   11  -4.534383909146e+00
   5   11  -9.684773997106e-01
   6   11  -8.334921882825e-01
   8   11  -1.841940597859e+00
   9   11  -1.573794662254e+00
  10   11  -3.821558279868e+00
  11   11  -4.754354222425e+00
   1   12  -1.100373585223e+00
   2   12  -2.373844916982e+00
   3   12  -3.048098947755e+00
   5   12   1.963820860919e+00
   6   12  -1.552817821368e+00
   8   12   2.787621369553e+00
   9   12  -2.197884783222e+00
  10   12  -4.135236232975e-01
  11   12  -1.498268330619e+00
  12   12  -6.405262650395e+00
   1   13  -2.237070604490e+00
   2   13  -3.733414747880e+00
   3   13  -4.534383909146e+00
   5   13   9.684773997106e-01
   6   13  -8.334921882825e-01
   8   13   1.841940597859e+00
   9   13  -1.573794662254e+00
  10   13  -1.498268330619e+00
  11   13  -2.874564325052e+00
  12   13  -3.821558279868e+00
  13   13  -4.754354222425e+00
