     1     1     1     1   4.785065752279987
     1     1     1     2   0.741380320924966
     1     2     1     2   1.118946840563560
     1     1     2     2   0.136873367367224
     2     1     2     2   0.256633371373356
     1     2     2     2   0.256633371373356
     2     2     2     2   0.817206295888890
     1     3     1     3   1.115813818660825
     1     3     2     3   0.256683969341425
     2     3     2     3   0.817022591109605
     1     1     3     3   0.024477410781866
     2     1     3     3   0.037808605854094
     1     2     3     3   0.037808605854094
     2     2     3     3   0.180518387633812
     3     3     3     3   0.880159089611994
     1     4     1     4   1.115813818660825
     1     4     2     4   0.256683969341425
     2     4     2     4   0.817022591109605
     3     4     3     4   0.785270200890242
     1     1     4     4   0.024477410781866
     2     1     4     4   0.037808605854094
     1     2     4     4   0.037808605854094
     2     2     4     4   0.180518387633812
     3     3     4     4   0.047444444360876
     4     4     4     4   0.880159089611994
     1     5     1     5   1.115813818660825
     1     5     2     5   0.256683969341425
     2     5     2     5   0.817022591109605
     3     5     3     5   0.785270200890242
     4     5     4     5   0.785270200890242
     1     1     5     5   0.024477410781866
     2     1     5     5   0.037808605854094
     1     2     5     5   0.037808605854094
     2     2     5     5   0.180518387633812
     3     3     5     5   0.047444444360876
     4     4     5     5   0.047444444360876
     5     5     5     5   0.880159089611994
     1     1     1     6   0.170986911566368
     1     2     1     6   0.402281132129175
     1     4     1     6   0.224124906507732
     1     5     1     6   0.174066597921193
     1     6     1     6   0.531058568690672
     1     1     2     6   0.031287185236672
     2     1     2     6   0.058238993182261
     1     2     2     6   0.093359981123503
     2     2     2     6   0.327550234204989
     1     4     2     6   0.052704052792297
     2     4     2     6   0.197496845800089
     1     5     2     6   0.040932600080739
     2     5     2     6   0.153385915846001
     1     6     2     6   0.125250879287183
     2     6     2     6   0.502571278435057
     3     1     3     6   0.058128581055806
     3     2     3     6   0.322104008856644
     1     3     3     6   0.009933080188995
     2     3     3     6   0.057221999085378
     3     4     3     6   0.188469175680839
     3     5     3     6   0.146374576279604
     3     6     3     6   0.482104253688424
     1     1     4     6   0.001136564116255
     2     1     4     6   0.002121631744087
     4     1     4     6   0.058339801486650
     1     2     4     6   0.005513937165185
     2     2     4     6   0.041540276628251
     4     2     4     6   0.332104408568982
     3     3     4     6   0.008703823648579
     1     4     4     6   0.012671777430855
     2     4     4     6   0.081054494686740
     4     4     4     6   0.211776457008341
     1     5     4     6   0.002127009081921
     2     5     4     6   0.018509506569087
     4     5     4     6   0.150956526767141
     1     6     4     6   0.009870751782355
     2     6     4     6   0.101363981926372
