     1     1     1     1   4.780446067844989
     1     1     1     2   0.598378248710069
     1     2     1     2   1.311436257317591
     1     1     2     2   0.112853953672824
     2     1     2     2   0.294981207984043
     1     2     2     2   0.294981207984043
     2     2     2     2   1.029677154878747
     1     1     1     3   0.537973243248977
     1     2     1     3   0.875064819220162
     1     3     1     3   0.821663871980847
     1     1     2     3   0.086635675566375
     2     1     2     3   0.213385403011956
     1     2     2     3   0.197412785908674
     2     2     2     3   0.715914401575698
     1     3     2     3   0.186490952617324
     2     3     2     3   0.722493645646551
     1     1     3     3   0.070397833570942
     2     1     3     3   0.142720356730084
     3     1     3     3   0.134626141627344
     1     2     3     3   0.142720356730084
     2     2     3     3   0.505125642837642
     3     2     3     3   0.525140438060498
     1     3     3     3   0.134626141627344
     2     3     3     3   0.525140438060498
     3     3     3     3   0.586329336331611
     1     4     1     4   1.433040107841745
     1     4     2     4   0.310851382200950
     2     4     2     4   1.039212853762036
     1     4     3     4   0.227493147005199
     2     4     3     4   0.720328688640242
     3     4     3     4   0.724381293732323
     1     1     4     4   0.060930791996048
     2     1     4     4   0.074364695227984
     3     1     4     4   0.046541426507313
     1     2     4     4   0.074364695227984
     2     2     4     4   0.233068692541917
     3     2     4     4   0.159792531403995
     1     3     4     4   0.046541426507313
     2     3     4     4   0.159792531403995
     3     3     4     4   0.114928941188199
     4     4     4     4   1.136875331633721
     1     5     1     5   1.433040107841745
     1     5     2     5   0.310851382200950
     2     5     2     5   1.039212853762036
     1     5     3     5   0.227493147005199
     2     5     3     5   0.720328688640242
     3     5     3     5   0.724381293732323
     4     5     4     5   1.014553400032912
     1     1     5     5   0.060930791996048
     2     1     5     5   0.074364695227984
     3     1     5     5   0.046541426507313
     1     2     5     5   0.074364695227984
     2     2     5     5   0.233068692541917
     3     2     5     5   0.159792531403995
     1     3     5     5   0.046541426507313
     2     3     5     5   0.159792531403995
     3     3     5     5   0.114928941188199
     4     4     5     5   0.061160965800404
     5     5     5     5   1.136875331633721
     1     6     1     6   1.433040107841745
     1     6     2     6   0.310851382200950
     2     6     2     6   1.039212853762036
     1     6     3     6   0.227493147005199
     2     6     3     6   0.720328688640242
     3     6     3     6   0.724381293732323
     4     6     4     6   1.014553400032912
     5     6     5     6   1.014553400032912
     1     1     6     6   0.060930791996048
     2     1     6     6   0.074364695227984
     3     1     6     6   0.046541426507313
     1     2     6     6   0.074364695227984
     2     2     6     6   0.233068692541917
     3     2     6     6   0.159792531403995
     1     3     6     6   0.046541426507313
     2     3     6     6   0.159792531403995
     3     3     6     6   0.114928941188199
     4     4     6     6   0.061160965800404
     5     5     6     6   0.061160965800404
     6     6     6     6   1.136875331633721
     1     4     1     7   0.470760796103345
     1     7     1     7   0.552696864087737
     1     4     2     7   0.107815384643183
     2     4     2     7   0.414349211158280
     1     7     2     7   0.128918837376734
     2     7     2     7   0.540722042351308
     1     4     3     7   0.077605768461572
     2     4     3     7   0.298003562227430
     3     4     3     7   0.322331597605042
     1     7     3     7   0.092324947096032
     2     7     3     7   0.405389371356879
     3     7     3     7   0.488607780276343
     1     1     4     7   0.005637295073066
     2     1     4     7   0.008952132028869
     3     1     4     7   0.005632436862116
     1     2     4     7   0.020166366885349
     2     2     4     7   0.088649925263306
     3     2     4     7   0.066520251651822
     1     3     4     7   0.019360699854804
     2     3     4     7   0.103440846666685
     3     3     4     7   0.086134164906384
     4     4     4     7   0.444832234751763
     4     7     4     7   0.565100184107616
     5     4     5     7   0.400038750832225
     4     5     5     7   0.022396741959769
     5     7     5     7   0.527323344344469
     6     4     6     7   0.400038750832225
     4     6     6     7   0.022396741959769
     6     7     6     7   0.527323344344469
     1     1     7     7   0.000563942646485
     2     1     7     7   0.002611769709566
     3     1     7     7   0.002574186011136
     1     2     7     7   0.002611769709566
     2     2     7     7   0.040238902739908
     3     2     7     7   0.055295745983214
     1     3     7     7   0.002574186011136
     2     3     7     7   0.055295745983214
     3     3     7     7   0.097721556055268
     4     4     7     7   0.195224339269105
     7     4     7     7   0.277331672839721
     5     5     7     7   0.011241468266676
     6     6     7     7   0.011241468266676
     4     7     7     7   0.277331672839721
     7     7     7     7   0.478835624670816
     1     5     1     8   0.470760796103345
     1     8     1     8   0.552696864087737
     1     5     2     8   0.107815384643183
     2     5     2     8   0.414349211158280
     1     8     2     8   0.128918837376734
     2     8     2     8   0.540722042351308
     1     5     3     8   0.077605768461572
     2     5     3     8   0.298003562227430
     3     5     3     8   0.322331597605042
     1     8     3     8   0.092324947096032
     2     8     3     8   0.405389371356879
     3     8     3     8   0.488607780276343
     4     5     4     8   0.400038750832225
     4     8     4     8   0.527323344344469
     1     1     5     8   0.005637295073066
     2     1     5     8   0.008952132028869
     3     1     5     8   0.005632436862116
     1     2     5     8   0.020166366885349
     2     2     5     8   0.088649925263306
     3     2     5     8   0.066520251651822
     1     3     5     8   0.019360699854804
     2     3     5     8   0.103440846666685
     3     3     5     8   0.086134164906384
     4     4     5     8   0.022396741959769
     5     5     5     8   0.444832234751763
     4     7     5     8   0.018888419881574
     5     8     5     8   0.565100184107616
     6     5     6     8   0.400038750832225
     5     6     6     8   0.022396741959769
     6     8     6     8   0.527323344344469
     5     4     7     8   0.011241468266676
     4     5     7     8   0.172741402735753
     7     5     7     8   0.249908846079012
     5     7     7     8   0.013711413380355
     4     8     7     8   0.249908846079012
     7     8     7     8   0.420202691037655
     1     1     8     8   0.000563942646485
     2     1     8     8   0.002611769709566
     3     1     8     8   0.002574186011136
     1     2     8     8   0.002611769709566
     2     2     8     8   0.040238902739908
