   1    1   9.999993857712e-01
   1    2  -7.024404193037e-07
   2    2   9.999999719401e-01
   1    3   1.939678354487e-01
   2    3   9.300082734207e-01
   3    3   1.000000000000e+00
   4    4   9.999987380804e-01
   5    5   9.999987380804e-01
   6    6   9.999987380804e-01
   4    7   7.928610994261e-01
   7    7   1.000000000000e+00
   5    8   7.928610994261e-01
   8    8   1.000000000000e+00
   6    9   7.928610994261e-01
   9    9   1.000000000000e+00
   1   10   8.396004129327e-02
   2   10   6.992528430472e-01
   3   10   6.391280311887e-01
  10   10   1.000000000000e+00
  11   11   1.000000000000e+00
  12   12   1.000000000000e+00
   1   13   8.396004129327e-02
   2   13   6.992528430472e-01
   3   13   6.391280311887e-01
  10   13   3.333333333333e-01
  13   13   1.000000000000e+00
  14   14   1.000000000000e+00
   1   15   8.396004129327e-02
   2   15   6.992528430472e-01
   3   15   6.391280311887e-01
  10   15   3.333333333333e-01
  13   15   3.333333333333e-01
  15   15   1.000000000000e+00
