   1    1   2.900320406609e+01
   1    2  -1.680109611446e-01
   2    2   8.081279027999e-01
   3    3   2.528731226266e+00
   4    4   2.528731226266e+00
   5    5   2.528731226266e+00
   1    6  -2.648630862429e-03
   2    6   1.276682068419e-01
   4    6   2.233242853453e-01
   5    6   1.734447955336e-01
   6    6   7.600318799756e-01
   1    7  -2.648630862429e-03
   2    7   1.276682068419e-01
   4    7  -2.233242853453e-01
   5    7   1.734447955336e-01
   6    7   8.390613397849e-03
   7    7   7.600318799756e-01
